Название,Жанр,Режиссер,Страна,Год,IMDB
Мстительный орёл,"боевик,приключенческий фильм,драма",[zh],Гонконг,1978,7.3
Мятежный «Орионъ»,"исторический, военный, приключения, экранизация",Евгений Шерстобитов,СССР,1978, 
Море,"драма, детектив",Леонид Осыка,СССР,1978,5.6
Мужчине живётся трудно. ,комедия,Ёдзи Ямада,Япония,,6.5
Молчаливый партнёр,триллер,Дэрил Дьюк,Канада,1978,7.4
Младший научный сотрудник,Теленовелла,Валерий Родченко,СССР,1978,4.8
Молодая жена,мелодрама,Леонид Менакер,СССР,1978,7.0
Мой ласковый и нежный зверь,мелодрама,Эмиль Лотяну,"СССР,ФРГ",1978,7.3
Мои любимые мужчины,"комедийный фильм,[1]","Стено,[1]",Италия,1978,6.1
Таинства,"мистическая,драма",Поль де Люссане,Нидерланды,1978,5.2
Месть Розовой пантеры,"криминальный фильм,комедия",Блейк Эдвардс,"США,Великобритания",1978,6.6
Мелоди в любви,"драма,эротика",Хуберт Франк,ФРГ,1978,4.5
Маршал революции,"фильм-биография,исторический фильм",Сергей Линков,СССР,1978,6.2
Магия Лесси,"приключения,драма,семейный фильм",Дон Чэффи,США,1978,5.5
Маниту,фильм ужасов,Уильям Гёрдлер,"США,Канада",1978,5.3
Любовь тела,порнофильм,"[en],*, (, ,Lasse Braun,)",Франция,1978,6.3
"Любовь, пуля и ярость",вестерн,Монте Хеллман,"Италия,Испания",1978,6.0
Любовь под вопросом,детектив,Андре Кайат,Франция,1978,5.9
Магия,триллер,Ричард Аттенборо,США,1978,6.8
Любовь и ярость,"красный вестерн,драма",",, Живко «Жика» Ристич",СССР,1978, 
Лицо на мишени,детектив,Альмантас Грикявичюс,СССР,1978,5.7
"Любовь моя, печаль моя","драма, притча, сказка",Аждар Ибрагимов,"СССР,Турция",1978,6.0
Макабро,фильм ужасов,Ламберто Бава,Италия,1980,5.8
Лялька-Руслан и его друг Санька,детский фильм,Евгений Татарский,СССР,1980,7.4
Личной безопасности не гарантирую…,приключенческий фильм,Анатолий Вехотко,СССР,,6.1
Лулу,драма,Морис Пиала,Франция,1980,6.7
Лицеистка,"комедийный фильм,[2]","Микеле Массимо Тарантини,[2]",Италия,31 октября,4.6
Лисы,драма,Эдриан Лайн,США,1980,6.1
"Лучше скажи, что ты хочешь","мелодрама,комедия",Сидни Люмет,США,1980,5.5
