Название,Жанр,Режиссер,Страна,Год,IMDB
Цезарь и Клеопатра,"романтическая комедия,драматический фильм",Гэбриел Паскаль,Великобритания,1945,6.2
Учительница,"драма, экранизация",Мартон Келети,Венгрия,1945,6.1
Тахир и Зухра,историческая драма,Наби Ганиев,СССР,1945,6.2
Улица греха,"драма,нуар",Фриц Ланг,США,1945,7.7
Янки Дудл Денди,"мюзикл,драма,фильм-биография",Майкл Кёртис,США,1942,7.6
Я женился на ведьме,мистическая комедия,Рене Клер,"США,[1]",1942,7.1
Шерлок Холмс и голос ужаса,детектив,Джон Ролинс,США,1942,6.4
Четыре шага в облаках,"драма,кинокомедия",Алессандро Блазетти,Италия,1942,7.5
Улица удачи,Фильм нуар,Джек Хайвли,США,1942,6.4
Через океан,"драма,боевик,приключения", (нет в титрах),США,1942,6.8
Швейк готовится к бою,Комедия,Мария Итина,СССР,1942,6.2
Убийцы выходят на дорогу,"военный фильм,драма", ,СССР,1942,7.3
"Человек, который пришёл к обеду",комедия,Уильям Кейли,США,1942,7.5
Фантастическая симфония,"драматический фильм,[1],биографический фильм","Кристиан-Жак,[1]",Франция,1942,5.9
"Человек, который не умирал","Детективный фильм,Фильм ужасов,Комедия",Герберт И. Лидс,США,,6.6
Убийство на Центральном вокзале,"Детективный фильм,Комедия",С. Силвэн Саймон,США,,6.5
"Тихо, пожалуйста: убийство",Фильм нуар,Джон Ларкин,США,21 декабря,6.4
Юнион Пасифик,"драма,вестерн",Сесил де Милль,США,1939,7.1
Я из Миссури,кинокомедия,Теодор Рид,США,1939,6.4
«Эскадрилья № 5»,оборонный фильм,Абрам Роом,СССР,1939,4.7
Шуми городок,комедия,Николай Садкович,СССР,,6.1
Шёл солдат с фронта,Драма,Владимир Легошин,СССР,1939, 
Экспресс изгнания,"драматический фильм,[1]",Оттис Гаррет,,1939,5.1
Член правительства,"драма,исторический фильм","Александр Зархи,Иосиф Хейфиц",СССР,1939,6.6
Щорс,"военно,исторический", ,СССР,1939,6.1
Этот замечательный мир,"криминальный фильм,комедия,мелодрама",В. С. ван Дайк,США,1939,6.8
Четыре пера,"приключенческий фильм,драма,мелодрама,военный фильм",Золтан Корда,Великобритания,1939,7.4
Четвёртый перископ,"приключения,военный,драма",Виктор Эйсымонт,СССР,1939,5.2
«Человек в футляре»,комедия,Исидор Анненский,СССР,1939,7.3
Частная жизнь Елизаветы и Эссекса,"мелодрама,исторический фильм,фильм-биография",Майкл Кёртис,США,1939,7.0
"Человек, которого не смогли повесить","фильм ужасов,[1]",Ник Гринд,США,1939,6.8
Человек в железной маске,"приключения,Экранизация",Джеймс Уэйл,США,1939,7.0
Цветущая юность,,Александр Иванович Медведкин,СССР,1939,7.6
Хирургия,комедия,Ян Фрид,СССР,1939,7.6
Учитель,киноповесть,Сергей Герасимов,СССР,,6.7
Хуарес,мелодрама,Уильям Дитерле,США,1939,6.9
Чарли Чан на Острове сокровищ,"Детективный фильм,Комедия",Норман Фостер,США,,7.2
Унесённые ветром,"эпическая,историческая,романтическая драма",Виктор Флеминг,США,15 декабря,8.2
Узники земли,историческая драма,Марио Соффичи,Аргентина,1939,7.0
Тупик,Криминальная мелодрама,Чарльз Видор,США,1939,6.3
Трактористы,"мелодрама,комедия",Иван Пырьев,СССР,1939,6.4
